12/08/2021 10:52:56 AM, 12/08/2021 10:53:04 AM, 0
12/08/2021 12:35:24 PM, 12/08/2021 12:35:27 PM, 0
12/08/2021 12:56:28 PM, 12/08/2021 12:56:37 PM, 0
12/08/2021 5:24:12 PM, 12/08/2021 5:25:06 PM, 1
12/08/2021 5:39:06 PM, 12/08/2021 5:40:25 PM, 1
12/08/2021 5:49:34 PM, 12/08/2021 5:50:40 PM, 1
13/08/2021 6:05:29 PM, 13/08/2021 6:05:47 PM, 0
13/08/2021 10:22:06 PM, 13/08/2021 10:32:49 PM, 11
16/08/2021 5:14:41 PM, 16/08/2021 5:20:03 PM, 5
16/08/2021 5:20:42 PM, 16/08/2021 5:21:10 PM, 0
16/08/2021 5:25:24 PM, 16/08/2021 5:25:40 PM, 0
16/08/2021 7:15:08 PM, 16/08/2021 7:15:22 PM, 0
16/08/2021 7:15:37 PM, 16/08/2021 7:16:04 PM, 0
